,Company,Job Title,Location,Estimated Salary,Lower Bound,Median,Upper Bound
626,pulseData,"['science', 'associate', 'remote']","New York, NY","[50000, 66500.0, 83000]",50000.0,66500.0,83000.0
627,Bayer,"['nafto', 'science', 'coop']",United States,"[58240.0, 72800, 87360.0]",58240.0,72800.0,87360.0
628,MediaMath,"['vp', 'science']","New York, NY","[231000, 265500.0, 300000]",231000.0,265500.0,300000.0
629,Duolingo,"['head', 'science']","New York, NY","[196000, 255000.0, 314000]",196000.0,255000.0,314000.0
630,Dataquestcorp,['science'],"Branchburg, NJ","[70000, 74500.0, 79000]",70000.0,74500.0,79000.0
632,"JPMorgan Chase Bank, N.A.","['advancing', 'hispanics', 'latinos', 'fellowship', 'program', 'ai', 'science', 'track']","New York, NY","[54080, 73840.0, 93600]",54080.0,73840.0,93600.0
633,Discord,"['engineering', 'manager']","San Francisco, CA","[153600.0, 192000, 230400.0]",153600.0,192000.0,230400.0
634,YT Global Network,"['engineer', 'remote']",Remote,"[187200, 218400.0, 249600]",187200.0,218400.0,249600.0
635,excelon solutuion,"['hiring', 'science', 'aws', 'w']",Remote,"[93600, 98800.0, 104000]",93600.0,98800.0,104000.0
636,Science Systems & Applications,"['science', 'visualizer', 'earth', 'science']","Lanham, MD","[62000, 74000.0, 86000]",62000.0,74000.0,86000.0
638,Delta,"['coop', 'flight', 'safety', 'science', 'fall']","Atlanta, GA","[40000, 51000.0, 62000]",40000.0,51000.0,62000.0
639,Hewlett Packard Enterprise,"['science', 'graduate']","San Jose, CA","[109000, 180500.0, 252000]",109000.0,180500.0,252000.0
640,Hunter Engineering,"['science', 'coop']","Bridgeton, MO","[71000, 90500.0, 110000]",71000.0,90500.0,110000.0
641,Aristocrat Technologies Inc,"['science', 'analyst']","Las Vegas, NV","[69000, 87500.0, 106000]",69000.0,87500.0,106000.0
642,Vetro Tech Inc,['scientist'],"Seattle, WA","[87000, 93000.0, 99000]",87000.0,93000.0,99000.0
643,Electric Hydrogen,"['science', 'coop']","San Carlos, CA","[72800, 83200.0, 93600]",72800.0,83200.0,93600.0
644,Anblicks,"['science', 'aiml']","Dallas, TX","[58000, 75000.0, 92000]",58000.0,75000.0,92000.0
645,Havas Group,"['junior', 'fellow', 'decision', 'science']","New York, NY","[29952.0, 37440, 44928.0]",29952.0,37440.0,44928.0
646,Liberty Mutual Insurance,"['science', 'coop', 'july', 'december']","Boston, MA","[54080, 60320.0, 66560]",54080.0,60320.0,66560.0
647,BigHat Biosciences,"['programs', 'science', 'consultant', 'remote']","San Mateo, CA","[79000, 104000.0, 129000]",79000.0,104000.0,129000.0
648,The University of Chicago,"['science', 'analyst']","Chicago, IL","[75000, 91500.0, 108000]",75000.0,91500.0,108000.0
649,SETI Institute,"['science', 'pipeline', 'operator']","Mountain View, CA","[67000, 81000.0, 95000]",67000.0,81000.0,95000.0
650,Adobe,"['science', 'engineer']","Lehi, UT","[140000, 200500.0, 261000]",140000.0,200500.0,261000.0
651,Cobbs Creek Healthcare,"['junior', 'analyst']","Newtown Square, PA","[55000, 60000.0, 65000]",55000.0,60000.0,65000.0
654,Forward,"['software', 'engineer', 'science']","San Francisco, CA","[113000, 140500.0, 168000]",113000.0,140500.0,168000.0
655,C3 AI,"['science', 'instructor']","Redwood City, CA","[109000, 125500.0, 142000]",109000.0,125500.0,142000.0
656,pulseData,"['science', 'associate', 'remote']","New York, NY","[50000, 66500.0, 83000]",50000.0,66500.0,83000.0
657,Bayer,"['nafto', 'science', 'coop']",United States,"[58240.0, 72800, 87360.0]",58240.0,72800.0,87360.0
658,MediaMath,"['vp', 'science']","New York, NY","[231000, 265500.0, 300000]",231000.0,265500.0,300000.0
659,Duolingo,"['head', 'science']","New York, NY","[196000, 255000.0, 314000]",196000.0,255000.0,314000.0
660,Dataquestcorp,['science'],"Branchburg, NJ","[70000, 74500.0, 79000]",70000.0,74500.0,79000.0
662,"JPMorgan Chase Bank, N.A.","['advancing', 'hispanics', 'latinos', 'fellowship', 'program', 'ai', 'science', 'track']","New York, NY","[54080, 73840.0, 93600]",54080.0,73840.0,93600.0
663,Discord,"['engineering', 'manager']","San Francisco, CA","[153600.0, 192000, 230400.0]",153600.0,192000.0,230400.0
664,YT Global Network,"['engineer', 'remote']",Remote,"[187200, 218400.0, 249600]",187200.0,218400.0,249600.0
665,excelon solutuion,"['hiring', 'science', 'aws', 'w']",Remote,"[93600, 98800.0, 104000]",93600.0,98800.0,104000.0
666,Science Systems & Applications,"['science', 'visualizer', 'earth', 'science']","Lanham, MD","[62000, 74000.0, 86000]",62000.0,74000.0,86000.0
668,Delta,"['coop', 'flight', 'safety', 'science', 'fall']","Atlanta, GA","[40000, 51000.0, 62000]",40000.0,51000.0,62000.0
669,Hewlett Packard Enterprise,"['science', 'graduate']","San Jose, CA","[109000, 180500.0, 252000]",109000.0,180500.0,252000.0
670,Hunter Engineering,"['science', 'coop']","Bridgeton, MO","[71000, 90500.0, 110000]",71000.0,90500.0,110000.0
671,Aristocrat Technologies Inc,"['science', 'analyst']","Las Vegas, NV","[69000, 87500.0, 106000]",69000.0,87500.0,106000.0
672,Vetro Tech Inc,['scientist'],"Seattle, WA","[87000, 93000.0, 99000]",87000.0,93000.0,99000.0
673,Electric Hydrogen,"['science', 'coop']","San Carlos, CA","[72800, 83200.0, 93600]",72800.0,83200.0,93600.0
674,Anblicks,"['science', 'aiml']","Dallas, TX","[58000, 75000.0, 92000]",58000.0,75000.0,92000.0
675,Havas Group,"['junior', 'fellow', 'decision', 'science']","New York, NY","[29952.0, 37440, 44928.0]",29952.0,37440.0,44928.0
676,Liberty Mutual Insurance,"['science', 'coop', 'july', 'december']","Boston, MA","[54080, 60320.0, 66560]",54080.0,60320.0,66560.0
677,BigHat Biosciences,"['programs', 'science', 'consultant', 'remote']","San Mateo, CA","[79000, 104000.0, 129000]",79000.0,104000.0,129000.0
678,The University of Chicago,"['science', 'analyst']","Chicago, IL","[75000, 91500.0, 108000]",75000.0,91500.0,108000.0
679,SETI Institute,"['science', 'pipeline', 'operator']","Mountain View, CA","[67000, 81000.0, 95000]",67000.0,81000.0,95000.0
680,Adobe,"['science', 'engineer']","Lehi, UT","[140000, 200500.0, 261000]",140000.0,200500.0,261000.0
681,Cobbs Creek Healthcare,"['junior', 'analyst']","Newtown Square, PA","[55000, 60000.0, 65000]",55000.0,60000.0,65000.0
684,Forward,"['software', 'engineer', 'science']","San Francisco, CA","[113000, 140500.0, 168000]",113000.0,140500.0,168000.0
685,C3 AI,"['science', 'instructor']","Redwood City, CA","[109000, 125500.0, 142000]",109000.0,125500.0,142000.0
686,pulseData,"['science', 'associate', 'remote']","New York, NY","[50000, 66500.0, 83000]",50000.0,66500.0,83000.0
687,Bayer,"['nafto', 'science', 'coop']",United States,"[58240.0, 72800, 87360.0]",58240.0,72800.0,87360.0
688,MediaMath,"['vp', 'science']","New York, NY","[231000, 265500.0, 300000]",231000.0,265500.0,300000.0
689,Duolingo,"['head', 'science']","New York, NY","[196000, 255000.0, 314000]",196000.0,255000.0,314000.0
690,Dataquestcorp,['science'],"Branchburg, NJ","[70000, 74500.0, 79000]",70000.0,74500.0,79000.0
692,"JPMorgan Chase Bank, N.A.","['advancing', 'hispanics', 'latinos', 'fellowship', 'program', 'ai', 'science', 'track']","New York, NY","[54080, 73840.0, 93600]",54080.0,73840.0,93600.0
693,Discord,"['engineering', 'manager']","San Francisco, CA","[153600.0, 192000, 230400.0]",153600.0,192000.0,230400.0
694,YT Global Network,"['engineer', 'remote']",Remote,"[187200, 218400.0, 249600]",187200.0,218400.0,249600.0
695,excelon solutuion,"['hiring', 'science', 'aws', 'w']",Remote,"[93600, 98800.0, 104000]",93600.0,98800.0,104000.0
696,Science Systems & Applications,"['science', 'visualizer', 'earth', 'science']","Lanham, MD","[62000, 74000.0, 86000]",62000.0,74000.0,86000.0
698,Delta,"['coop', 'flight', 'safety', 'science', 'fall']","Atlanta, GA","[40000, 51000.0, 62000]",40000.0,51000.0,62000.0
699,Hewlett Packard Enterprise,"['science', 'graduate']","San Jose, CA","[109000, 180500.0, 252000]",109000.0,180500.0,252000.0
700,Hunter Engineering,"['science', 'coop']","Bridgeton, MO","[71000, 90500.0, 110000]",71000.0,90500.0,110000.0
701,Aristocrat Technologies Inc,"['science', 'analyst']","Las Vegas, NV","[69000, 87500.0, 106000]",69000.0,87500.0,106000.0
702,Vetro Tech Inc,['scientist'],"Seattle, WA","[87000, 93000.0, 99000]",87000.0,93000.0,99000.0
703,Electric Hydrogen,"['science', 'coop']","San Carlos, CA","[72800, 83200.0, 93600]",72800.0,83200.0,93600.0
704,Anblicks,"['science', 'aiml']","Dallas, TX","[58000, 75000.0, 92000]",58000.0,75000.0,92000.0
705,Havas Group,"['junior', 'fellow', 'decision', 'science']","New York, NY","[29952.0, 37440, 44928.0]",29952.0,37440.0,44928.0
706,Liberty Mutual Insurance,"['science', 'coop', 'july', 'december']","Boston, MA","[54080, 60320.0, 66560]",54080.0,60320.0,66560.0
707,BigHat Biosciences,"['programs', 'science', 'consultant', 'remote']","San Mateo, CA","[79000, 104000.0, 129000]",79000.0,104000.0,129000.0
708,The University of Chicago,"['science', 'analyst']","Chicago, IL","[75000, 91500.0, 108000]",75000.0,91500.0,108000.0
709,SETI Institute,"['science', 'pipeline', 'operator']","Mountain View, CA","[67000, 81000.0, 95000]",67000.0,81000.0,95000.0
710,Adobe,"['science', 'engineer']","Lehi, UT","[140000, 200500.0, 261000]",140000.0,200500.0,261000.0
711,Cobbs Creek Healthcare,"['junior', 'analyst']","Newtown Square, PA","[55000, 60000.0, 65000]",55000.0,60000.0,65000.0
714,Forward,"['software', 'engineer', 'science']","San Francisco, CA","[113000, 140500.0, 168000]",113000.0,140500.0,168000.0
715,C3 AI,"['science', 'instructor']","Redwood City, CA","[109000, 125500.0, 142000]",109000.0,125500.0,142000.0
716,pulseData,"['science', 'associate', 'remote']","New York, NY","[50000, 66500.0, 83000]",50000.0,66500.0,83000.0
